"Type.of.feeding.interaction","Predator.lifestage","Intercept","Intercept_Std_Error","Intercept_T_Statistic","Intercept_P_Value","Slope","Slope_Std_Error","Slope_T_Statistic","Slope_P_Value","R_Squared","Adjusted_R_Squared","F_Statistic","F_P_Value"
"insectivorous","larva / juvenile",-3.45975627178893,2.07379067389877,-1.66832473273906,0.105657209203314,81.1591380069622,11.5695294049364,7.01490399188869,8.51926669047017e-08,0.621254577117463,0.608629729688045,49.2088780154159,8.51926669047012e-08
"piscivorous","adult",18859.8842209802,444.094239438383,42.468202795945,0,59.1262314720646,2.99570504557659,19.7370003296451,8.67461555108944e-86,0.021536869262521,0.0214815826125754,389.54918201242,8.67461555104681e-86
"piscivorous","juvenile",5510.17020640088,10.1022115164041,545.441975497482,0,10.2848479190317,1.8987740307406,5.4165728794069,6.55097406740436e-08,0.00959947808315518,0.0092722892751218,29.339261757932,6.55097406738557e-08
"piscivorous","larva / juvenile",9.86483143239672,6.01987612747293,1.63871003713458,0.135696866255147,172.511898493461,104.532763501463,1.65031414759304,0.133275952079355,0.232313578702393,0.147015087447103,2.72353678574574,0.133275952079355
"piscivorous","postlarva",0.0382407206914082,0.00771154622589489,4.95889145590521,2.41625323165951e-05,0.582050921513236,0.0843384294254274,6.90137254723114,9.72722953165719e-08,0.605743142370175,0.593025179220826,47.6289430356757,9.7272295316571e-08
"piscivorous","postlarva/juvenile",1.28,0.12,10.6666666666667,0.0595091671428354,NA,NA,NA,NA,0,0,NA,NA
"planktivorous","adult",26967.7354654314,1274.19573107008,21.1645156296229,1.03515074642723e-47,152.795681507931,99.7203299454911,1.53224203722002,0.12748816361192,0.0148266421747683,0.00851142834255536,2.34776566062414,0.12748816361192
"planktivorous","juvenile",2.25196721311474,NA,NA,NA,6557.37704918046,NA,NA,NA,1,NA,NA,NA
"planktivorous","larva",0.149952307811492,0.0177738064445736,8.43670196809604,1.10223754114038e-16,-0.125540385475094,0.259042257628564,-0.484632841855107,0.628040559141267,0.000229535758135438,-0.000747756973283886,0.234868991404557,0.628040559141267
"planktivorous","larva / juvenile",0.412017531898669,0.396846180563707,1.03822980307739,0.301285879064045,100348.136755092,54245.455497069,1.84989020436034,0.0668312825188673,0.0281834521378093,0.01994771868135,3.42209376818833,0.0668312825188674
"planktivorous","postlarva/juvenile",0.153516129748767,0.02134439839619,7.19233809729538,6.67560163767524e-12,21012.870102476,4515.86284250713,4.65312407292025,5.19518130117455e-06,0.0763315504427213,0.0728060983451744,21.65156363799,5.19518130117453e-06
"predacious","adult",14022.5769795346,479.687599728076,29.232727690863,1.69319135914137e-178,86.6733851893621,3.39161556101095,25.5551915098323,1.7263770292629e-138,0.076096790112405,0.0759802680781148,653.067813104219,1.72637702925079e-138
"predacious","juvenile",1477.0669778648,53.6757327746637,27.5183383907525,1.29341589175747e-142,72.5276909974529,5.75924556428037,12.5932624660562,4.1285842295562e-35,0.0702164807756492,0.0697737267188756,158.590259538988,4.12858422954342e-35
"predacious","larva",0.107758676365578,0.0170727766411643,6.31172530575725,3.86485592121706e-10,16253.0221597406,678.994031370602,23.9369146249085,5.60208041878431e-104,0.321359300269679,0.320798440187257,572.975881760158,5.60208041878814e-104
"predacious","larva / juvenile",1.51278179933139,0.355280481382133,4.25799299034463,2.47773863624972e-05,164.216226022138,19.5670460831782,8.3924893580802,5.25237217935043e-16,0.126808753413814,0.125008359090956,70.4338776254893,5.25237217935058e-16
"predacious","postlarva",0.133502073567387,0.0104075170685258,12.8274662139274,4.70834159424598e-20,-0.00861452759101591,0.00995890948153077,-0.865007118198225,0.389989666306616,0.0105760559264123,-0.00355857184606756,0.748237314533598,0.389989666306616
"predacious","postlarva/juvenile",0.565541752418578,0.0262896139594141,21.511983907092,3.70204676907759e-76,1.74618988244161,0.326915484926987,5.34141074055149,1.32011188235218e-07,0.046276154857748,0.0446541755292746,28.5306686992787,1.32011188235223e-07
"predacious/piscivorous","adult",503.058942134918,62.2227715609609,8.0848044777636,1.48701884570073e-13,11.949120671082,1.92886761107519,6.19488896100095,4.79389028064085e-09,0.194433583643607,0.189367128194824,38.3766492391315,4.79389028064082e-09
