"","TreeID","Girth_cm","JulianDate"
"1",2,153,114
"2",3,78,116
"3",4,152,112
"4",5,402,114
"5",6,303,114
"6",10,84,114
"7",15,190,114
"8",17,169,114
"9",21,74,120
"10",22,120,120
"11",26,215,114
"12",27,144,114
"13",30,161,112
"14",31,194,112
"15",35,139,114
"16",42,167,112
"17",43,133,114
"18",45,110,120
"19",47,76,120
"20",50,75,114
"21",51,118,112
"22",55,192,122
"23",57,160,112
"24",58,199,110
"25",59,90,118
"26",60,150,112
"27",61,180,112
"28",64,192,118
"29",65,125,113
"30",67,65,115
"31",70,378,109
"32",71,95,119
"33",74,78,113
"34",75,120,109
"35",78,64,113
"36",79,82,113
"37",93,106,123
"38",94,71,119
"39",95,125,113
"40",97,125,113
"41",103,110,119
"42",108,97,113
"43",109,120,115
"44",113,90,115
"45",116,133,113
"46",123,382,113
"47",124,67,119
"48",127,171,115
"49",129,211,109
"50",130,85,113
"51",132,122,109
"52",133,112,113
"53",134,141,109
"54",140,134,114
"55",141,82,113
"56",142,82,121
"57",143,115,113
"58",145,45,119
"59",147,168,113
"60",152,33,121
"61",153,51,121
"62",154,58,119
"63",155,44,121
"64",162,41,121
"65",164,47,119
"66",165,67,119
"67",166,79,119
"68",167,21,121
"69",171,41,113
"70",172,72,119
"71",174,109,113
"72",177,117,113
"73",182,31,119
"74",184,200,105
"75",185,220,113
"76",190,92,116
"77",193,55,114
"78",194,61,118
"79",197,176,108
"80",202,89,118
"81",209,121,108
"82",258,136,119
"83",270,177,119
"84",300,49,123
"85",305,118,119
"86",321,249,112
"87",325,250,116
"88",328,241,116
"89",331,66,114
"90",332,112,114
"91",333,79,114
"92",336,68,114
"93",337,49,114
"94",338,42,120
"95",340,50,116
"96",344,207,113
"97",346,174,113
"98",347,137,115
"99",350,122,119
"100",356,100,121
"101",358,31,121
"102",359,99,113
"103",362,58,121
"104",363,46,121
"105",364,49,121
"106",366,135,119
"107",367,95,113
"108",369,100,113
"109",372,108,113
"110",373,33,121
"111",375,25,121
"112",376,131,119
"113",379,168,113
