TIMESTAMP,Record,Air_Temp (Deg C) [Smp],Grass_Temp (Deg C) [Smp],Soil_Temp_2in  (Deg C) [Smp],Soil_Temp_4in  (Deg C) [Smp],Air_Temp_Max  (Deg C) [Max],Air_Temp_Min  (Deg C) [Min],Grass_Temp_Max (Deg C) [Max],Grass_Temp_Min (Deg C) [Min],Rain_mm_Tot  (mm) [Tot]
12/12/2009 9:00,1,4.337,4.894,3.944,4.362,5.662,0.178,8.11,-0.591,0.1
13/12/2009 9:00,2,4.202,4.276,3.186,3.641,7.873,1.127,11.66,0.724,0.2
14/12/2009 9:00,3,-0.02,0.756,1.419,2.375,6.101,-2.338,10.33,-2.111,0.2
15/12/2009 9:00,4,0.656,1.476,3.009,3.54,4.538,-0.02,8.91,0.756,1
16/12/2009 9:00,5,-2.879,-1.267,0.447,1.319,1.067,-5.88,2.1,-4.992,0
17/12/2009 9:00,6,0.424,0.682,0.682,1.345,2.767,-2.879,2.366,-1.267,4.4
18/12/2009 9:00,7,-1.456,-0.354,0.558,1.126,3.177,-2.105,6.241,-1.138,0.3
19/12/2009 9:00,8,-6.045,-3.082,0.564,1.086,0.246,-7.516,-0.022,-3.546,0.4
20/12/2009 9:00,9,-3.699,-3.916,0.484,0.959,1.068,-6.08,-0.03,-4.378,1.1
21/12/2009 9:00,10,-5.327,-1.904,0.215,0.642,1.879,-8.06,-0.165,-4.874,0
22/12/2009 9:00,11,-1.182,-0.021,0.292,0.662,1.039,-5.327,0.008,-1.904,7.9
23/12/2009 9:00,12,-7.513,-1.762,0.204,0.565,1.474,-9.53,0.282,-2.589,1.1
24/12/2009 9:00,13,1.746,-0.01,0.198,0.521,2.639,-7.513,0.007,-1.821,16.8
25/12/2009 9:00,14,0.314,0.207,0.283,0.586,4.198,0.11,1,-0.019,0.6
26/12/2009 9:00,15,5.458,3.941,0.941,1.016,6.925,-1.627,4.178,-2.824,3
27/12/2009 9:00,16,5.014,4.123,1.85,1.945,8.15,3.82,10.84,1.68,0.2
28/12/2009 9:00,17,-4.177,-2.869,0.296,0.771,6.986,-4.861,11.39,-4.023,0
29/12/2009 9:00,18,2.904,2.459,0.821,0.944,4.536,-4.177,9.2,-2.917,2.2
30/12/2009 9:00,19,3.852,4.265,3.374,3.26,3.852,2.829,4.275,2.469,16.8
31/12/2009 9:00,20,2.289,2.687,2.554,2.724,4.16,2.152,4.663,2.299,8.1
01/01/2010 9:00,21,-1.859,-1.096,0.388,0.9,3.173,-1.962,4.506,-1.44,0
02/01/2010 9:00,22,-1.825,-1.535,0.076,0.456,2.247,-3.5,6.074,-3.353,0
03/01/2010 9:00,23,-2.201,-2.302,0.027,0.35,4.399,-2.612,8.33,-3.286,0
04/01/2010 9:00,24,-7.857,-6.48,-1.637,-0.453,1.879,-8.4,6.144,-7.376,0
05/01/2010 9:00,25,-3.494,-3.169,-1.745,-0.98,0.11,-7.858,5.498,-6.656,0
06/01/2010 9:00,26,-0.64,-0.126,-0.193,-0.136,0.862,-3.494,5.696,-3.169,0.6
07/01/2010 9:00,27,-5.943,-0.981,-0.2,-0.124,-0.332,-11.27,-0.069,-1.016,1.2
08/01/2010 9:00,28,-3.869,-0.732,-0.18,-0.104,-1.119,-6.331,-0.38,-0.983,0
09/01/2010 9:00,29,-3.767,-0.837,-0.199,-0.103,-0.637,-5.818,-0.191,-0.923,0.1
10/01/2010 9:00,30,0.248,-0.125,-0.134,-0.077,0.521,-3.904,-0.124,-0.837,2.8
11/01/2010 9:00,31,-0.91,-0.059,-0.116,-0.078,1.202,-1.081,-0.043,-0.135,11.5
12/01/2010 9:00,32,-0.23,-0.173,-0.097,-0.021,0.452,-1.797,-0.015,-0.284,1.1
13/01/2010 9:00,33,-1.319,-0.135,-0.097,0.027,0.861,-1.458,-0.033,-0.173,0
14/01/2010 9:00,34,0.52,-0.058,-0.086,0.094,0.52,-2.891,-0.035,-0.144,10.2
15/01/2010 9:00,35,-0.437,-0.021,-0.059,0.131,2.118,-0.915,-0.02,-0.062,0.1
16/01/2010 9:00,36,3.716,1.784,-0.025,0.136,4.736,-0.437,1.784,-0.037,3.9
17/01/2010 9:00,37,3.211,2.1,0.386,0.699,6.577,-0.17,6.404,-1.384,8.3
18/01/2010 9:00,38,3.648,2.873,0.288,0.563,9.09,-2.549,12.55,-2.043,0
