TreeID,TreeForm,Girth_cm,Stems,HeightGirth_cm,Estimated,Date
1,maiden,149,NULL,NA,NULL,"2007-2015
"
2,maiden,153,NULL,NA,NULL,"2007-2015
"
2,maiden,167,1,130,0,"2016-2019
"
3,maiden,78,NULL,NA,NULL,"2007-2015
"
3,maiden,86,1,130,0,"2016-2019
"
4,maiden,152,NULL,NA,NULL,"2007-2015
"
4,maiden,174,1,130,0,"2016-2019
"
5,maiden,402,NULL,NA,NULL,"2007-2015
"
5,maiden,406,1,130,0,"2016-2019
"
5,maiden,407,1,130,0,23/03/2021
6,maiden,303,NULL,NA,NULL,"2007-2015
"
6,maiden,376,1,130,0,"2016-2019
"
7,maiden,380,NULL,NA,NULL,"2007-2015
"
7,maiden,317,1,130,0,"2016-2019
"
10,maiden,84,NULL,NA,NULL,"2007-2015
"
11,maiden,50,NULL,NA,NULL,"2007-2015
"
12,maiden,220,NULL,NA,NULL,"2007-2015
"
13,maiden,100,NULL,NA,NULL,"2007-2015
"
14,maiden,107,NULL,NA,NULL,"2007-2015
"
15,maiden,190,NULL,NA,NULL,"2007-2015
"
16,maiden,175,NULL,NA,NULL,"2007-2015
"
16,maiden,173,1,130,0,"2016-2019
"
17,maiden,169,NULL,NA,NULL,"2007-2015
"
17,maiden,169,1,130,0,"2016-2019
"
18,maiden,75,NULL,NA,NULL,"2007-2015
"
19,maiden,115,NULL,NA,NULL,"2007-2015
"
19,maiden,120,1,130,0,"2016-2019
"
20,maiden,66,NULL,NA,NULL,"2007-2015
"
20,maiden,68,1,130,0,"2016-2019
"
21,maiden,74,NULL,NA,NULL,"2007-2015
"
21,maiden,92,1,130,0,"2016-2019
"
22,maiden,120,NULL,NA,NULL,"2007-2015
"
22,maiden,165,1,130,0,"2016-2019
"
23,maiden,137,NULL,NA,NULL,"2007-2015
"
23,maiden,140,1,130,0,"2016-2019
"
24,maiden,146,NULL,NA,NULL,"2007-2015
"
24,maiden,156,1,130,0,"2016-2019
"
25,maiden,110,1,130,0,"2016-2019
"
