"","VisitID","TreeID","Score","Date","Year","TreeForm","Girth_cm","JulianDate"
"1",2826,1621,1,"2015-04-08",2015,"maiden",233,98
"2",2827,1423,1,"2015-04-08",2015,"maiden",307,98
"3",2828,639,1,"2015-04-08",2015,"maiden",89,98
"4",2829,1374,0,"2015-04-08",2015,"maiden",91,98
"5",2830,657,1,"2015-04-08",2015,"maiden",155,98
"6",2831,652,1,"2015-04-08",2015,"multistem",174,98
"7",2832,88,0,"2015-04-08",2015,"maiden",92,98
"8",2833,89,0,"2015-04-08",2015,"maiden",82,98
"9",2834,90,1,"2015-04-08",2015,"maiden",91,98
"10",2835,93,0,"2015-04-08",2015,"maiden",106,98
"11",2836,1333,0,"2015-04-08",2015,"maiden",105,98
"12",2839,1356,0,"2015-04-08",2015,"maiden",48,98
"13",2840,1361,1,"2015-04-08",2015,"maiden",170,98
"14",2844,807,1,"2015-04-08",2015,"maiden",61,98
"15",2846,80,0,"2015-04-09",2015,"maiden",127,99
"16",2847,83,1,"2015-04-09",2015,"maiden",105,99
"17",2848,94,0,"2015-04-09",2015,"maiden",71,99
"18",2849,95,1,"2015-04-09",2015,"maiden",125,99
"19",2850,96,1,"2015-04-09",2015,"maiden",104,99
"20",2851,97,0,"2015-04-09",2015,"maiden",125,99
"21",2852,1491,0,"2015-04-09",2015,"maiden",200,99
"22",2853,1542,0,"2015-04-09",2015,"maiden",61,99
"23",2854,98,1,"2015-04-09",2015,"maiden",94,99
"24",2855,77,0,"2015-04-09",2015,"maiden",69,99
"25",2856,92,1,"2015-04-09",2015,"maiden",94,99
"26",2857,694,1,"2015-04-09",2015,"maiden",141,99
"27",2858,1677,0,"2015-04-09",2015,"maiden",71,99
"28",2859,1679,1,"2015-04-09",2015,"maiden",86,99
"29",2860,1683,0,"2015-04-09",2015,"maiden",59,99
"30",2861,1702,0,"2015-04-09",2015,"maiden",72,99
"31",2862,1704,0,"2015-04-09",2015,"maiden",87,99
"32",2863,1707,0,"2015-04-09",2015,"multistem",86,99
"33",2864,925,0,"2015-04-09",2015,"maiden",111,99
"34",2865,1483,0,"2015-04-09",2015,"maiden",100,99
"35",2866,1484,0,"2015-04-09",2015,"multistem",120,99
"36",2867,1697,0,"2015-04-09",2015,"maiden",50,99
"37",2868,119,0,"2015-04-09",2015,"maiden",87,99
"38",2869,127,0,"2015-04-09",2015,"maiden",171,99
"39",2870,128,1,"2015-04-09",2015,"maiden",159,99
"40",2871,104,0,"2015-04-09",2015,"maiden",78,99
"41",2872,693,0,"2015-04-09",2015,"maiden",64,99
"42",2873,727,0,"2015-04-09",2015,"maiden",73,99
