"TreeID","Girth_cm","JulianDate"
1,149,NA
2,153,114
3,78,116
4,152,112
5,402,114
6,303,114
7,380,NA
10,84,114
12,220,NA
14,107,NA
15,190,114
16,175,NA
17,169,114
21,74,120
22,120,120
26,215,114
27,144,114
28,206,NA
29,171,NA
30,161,112
31,194,112
32,88,NA
33,80,NA
35,139,114
36,146,NA
37,139,NA
38,99,NA
39,117,NA
40,143,NA
41,126,NA
42,167,112
43,133,114
44,135,NA
45,110,120
46,138,NA
47,76,120
48,66,NA
49,126,NA
50,75,114
51,118,112
53,143,NA
54,85,NA
55,192,122
56,90,NA
57,160,112
58,199,110
59,90,118
60,150,112
61,180,112
64,192,118
65,125,113
67,65,115
69,400,NA
70,378,109
71,95,119
72,100,NA
74,78,113
75,120,109
76,69,NA
77,69,NA
78,64,113
79,82,113
80,127,NA
81,123,NA
82,153,NA
83,105,NA
84,53,NA
85,90,NA
86,186,NA
87,109,NA
88,92,NA
89,82,NA
90,91,NA
92,94,NA
93,106,123
94,71,119
95,125,113
96,104,NA
97,125,113
98,94,NA
99,113,NA
100,109,NA
101,89,NA
102,174,NA
103,110,119
105,134,NA
107,122,NA
108,97,113
109,120,115
110,78,NA
111,55,NA
113,90,115
114,85,NA
115,68,NA
116,133,113
119,87,NA
120,80,NA
121,104,NA
122,113,NA
123,382,113
124,67,119
125,87,NA
126,109,NA
127,171,115
128,159,NA
129,211,109
130,85,113
131,118,NA
132,122,109
133,112,113
134,141,109
135,442,NA
136,114,NA
137,114,NA
140,134,114
141,82,113
142,82,121
143,115,113
144,39,NA
145,45,119
146,109,NA
147,168,113
148,59,NA
149,52,NA
151,56,NA
152,33,121
153,51,121
154,58,119
155,44,121
156,27,NA
157,31,NA
158,27,NA
160,86,NA
161,98,NA
162,41,121
163,49,NA
164,47,119
165,67,119
166,79,119
167,21,121
168,15,NA
169,35,NA
170,44,NA
171,41,113
172,72,119
174,109,113
175,28,NA
176,49,NA
177,117,113
178,38,NA
179,45,NA
181,44,NA
182,31,119
184,200,105
185,220,113
188,199,NA
190,92,116
193,55,114
194,61,118
197,176,108
202,89,118
209,121,108
223,117,NA
229,78,NA
237,194,NA
248,35,NA
258,136,119
270,177,119
277,115,NA
278,78,NA
281,91,NA
300,49,123
302,53,NA
304,165,NA
305,118,119
320,190,NA
321,249,112
322,152,NA
323,196,NA
324,52,NA
325,250,116
326,197,NA
328,241,116
329,91,NA
331,66,114
332,112,114
333,79,114
334,107,NA
335,80,NA
336,68,114
337,49,114
338,42,120
340,50,116
341,190,NA
342,107,NA
343,55,NA
344,207,113
346,174,113
347,137,115
348,131,NA
350,122,119
351,163,NA
355,101,NA
356,100,121
358,31,121
359,99,113
360,130,NA
361,77,NA
362,58,121
363,46,121
364,49,121
365,62,NA
366,135,119
367,95,113
368,86,NA
369,100,113
370,59,NA
371,32,NA
372,108,113
373,33,121
374,30,NA
375,25,121
376,131,119
377,110,NA
379,168,113
380,108,119
381,61,NA
383,95,121
385,87,119
386,82,119
387,73,119
388,51,NA
389,110,NA
390,79,NA
391,50,NA
392,80,NA
393,63,119
394,125,119
395,68,121
396,76,119
397,90,113
398,79,123
399,76,NA
400,105,NA
401,85,119
402,65,NA
403,150,113
404,91,119
405,124,NA
406,130,NA
407,45,121
408,53,NA
409,132,113
410,178,NA
414,28,NA
415,83,123
416,64,119
417,54,NA
418,261,113
419,134,113
420,80,NA
422,60,NA
423,136,119
424,177,113
426,133,NA
427,240,NA
428,69,NA
429,122,113
430,165,107
431,143,NA
432,128,113
433,196,113
434,140,113
435,88,NA
436,197,113
437,84,NA
438,87,119
439,167,NA
440,130,119
443,146,NA
