"","TreeID","TreeForm","Girth_cm","Stems","HeightGirth_cm","Estimated","Year"
"1",1,"maiden",149,"NULL",NA,"NULL",2007
"2",1,"maiden",149,"NULL",NA,"NULL",2008
"3",1,"maiden",149,"NULL",NA,"NULL",2009
"4",1,"maiden",149,"NULL",NA,"NULL",2010
"5",1,"maiden",149,"NULL",NA,"NULL",2011
"6",1,"maiden",149,"NULL",NA,"NULL",2012
"7",1,"maiden",149,"NULL",NA,"NULL",2013
"8",1,"maiden",149,"NULL",NA,"NULL",2014
"9",1,"maiden",149,"NULL",NA,"NULL",2015
"10",2,"maiden",153,"NULL",NA,"NULL",2007
"11",2,"maiden",153,"NULL",NA,"NULL",2008
"12",2,"maiden",153,"NULL",NA,"NULL",2009
"13",2,"maiden",153,"NULL",NA,"NULL",2010
"14",2,"maiden",153,"NULL",NA,"NULL",2011
"15",2,"maiden",153,"NULL",NA,"NULL",2012
"16",2,"maiden",153,"NULL",NA,"NULL",2013
"17",2,"maiden",153,"NULL",NA,"NULL",2014
"18",2,"maiden",153,"NULL",NA,"NULL",2015
"19",2,"maiden",167,"1","130","0",2016
"20",2,"maiden",167,"1","130","0",2017
"21",2,"maiden",167,"1","130","0",2018
"22",2,"maiden",167,"1","130","0",2019
"23",3,"maiden",78,"NULL",NA,"NULL",2007
"24",3,"maiden",78,"NULL",NA,"NULL",2008
"25",3,"maiden",78,"NULL",NA,"NULL",2009
"26",3,"maiden",78,"NULL",NA,"NULL",2010
"27",3,"maiden",78,"NULL",NA,"NULL",2011
"28",3,"maiden",78,"NULL",NA,"NULL",2012
"29",3,"maiden",78,"NULL",NA,"NULL",2013
"30",3,"maiden",78,"NULL",NA,"NULL",2014
"31",3,"maiden",78,"NULL",NA,"NULL",2015
"32",3,"maiden",86,"1","130","0",2016
"33",3,"maiden",86,"1","130","0",2017
"34",3,"maiden",86,"1","130","0",2018
"35",3,"maiden",86,"1","130","0",2019
"36",4,"maiden",152,"NULL",NA,"NULL",2007
